epoch,lr,train_loss,train_iou,train_dice,val_loss,val_iou,val_dice,model
1,0.001,0.33196300443480997,,,0.261700553389696,0.9142863062711862,0.9440866296107953,BCE
2,0.001,0.22974300968880748,,,0.21933642373635218,0.9341940008676969,0.955635483448322,BCE
3,0.001,0.18934756385929444,,,0.27942315546365887,0.8789449976040766,0.9183241037222055,BCE
4,0.001,0.16178051426130183,,,0.3116614423119105,0.880462224666889,0.9192596673965454,BCE
5,0.0005,0.15004056721341377,,,0.3737729713320732,0.818420932843135,0.8640165191430312,BCE
6,0.0005,0.12225327655380848,,,0.30536985941804373,0.890828916659722,0.9245169804646418,BCE
7,0.0005,0.11214241925992217,,,0.231485948826258,0.9259755336321317,0.9497166459376996,BCE
8,0.00025,0.09556987677134719,,,0.35573507845401764,0.8685503005981445,0.9116371824191167,BCE
9,0.00025,0.10025211788860022,,,0.2574796089186118,0.924239809696491,0.9482533152286823,BCE
10,0.00025,0.08104445639194227,,,0.3547229084831018,0.8806491631727952,0.9177221793394822,BCE
1,0.0005,0.2333962053526193,,,0.09515300951898098,0.9730892181396484,0.9863422960042953,BCE_highres
2,0.0005,0.20808634953573346,,,0.12323078559711576,0.9705803543329239,0.9850165545940399,BCE_highres
1,0.001,0.18151935175353406,,,0.07856904084865864,0.917555034160614,0.9470573663711548,DiceLoss
2,0.001,0.08981995138467527,,,0.06403832710706271,0.9194439282784095,0.947823377755972,DiceLoss
3,0.001,0.07524518171946208,,,0.057147553333869346,0.920625218978295,0.9482868818136362,DiceLoss
4,0.001,0.06661820996041391,,,0.05002893851353572,0.9321899643311133,0.9543468952178955,DiceLoss
5,0.001,0.06336588836183735,,,0.05324384799370399,0.9227244395476121,0.949564475279588,DiceLoss
6,0.001,0.061523106752657424,,,0.05163888289378239,0.924189819739415,0.9503943690886865,DiceLoss
7,0.001,0.060916440159666775,,,0.04477706322303185,0.9372406235108008,0.9570651146081778,DiceLoss
8,0.001,0.06170044108933093,,,0.08018580308327308,0.8746097638056829,0.9210640879777762,DiceLoss
9,0.001,0.0614429092874714,,,0.04450512849367582,0.9368963608374963,0.9571491663272564,DiceLoss
10,0.0005,0.06552048524220784,,,0.04859053630095262,0.9286209711661706,0.9524914438907917,DiceLoss
1,0.0005,0.07921093888580799,,,0.013457901775836945,0.9746915996074677,0.9871508479118347,DiceLoss_highres
2,0.0005,0.06213572435081005,,,0.011829383671283722,0.9774656519293785,0.9886009842157364,DiceLoss_highres
1,0.001,0.2639488694714565,,,0.1961132287979126,0.936916328393496,0.9570749952242925,CustomUNet
2,0.001,0.18653446552800199,,,0.13946515321731567,0.9312999523602999,0.9540446492341849,CustomUNet
3,0.001,0.14339205797980814,,,0.09425013340436496,0.9371773463029128,0.9571412113996652,CustomUNet
4,0.0005,0.11898410437153835,,,0.07962396053167489,0.9370245704284081,0.9571425181168777,CustomUNet
5,0.0005,0.10705914684370452,,,0.07414489526015061,0.9404735611035273,0.9588722173984234,CustomUNet
6,0.0005,0.10136522381913428,,,0.06831204891204834,0.9385714989442092,0.9578384848741385,CustomUNet
7,0.0005,0.09728317167244706,,,0.0622597886965825,0.9387532885258014,0.9579607844352722,CustomUNet
8,0.00025,0.09171916807399076,,,0.2591940485514127,0.6241872654511378,0.7538657165490664,CustomUNet
9,0.00025,0.08605693718966316,,,0.06275835862526527,0.9301527096674993,0.9535876099879925,CustomUNet
10,0.00025,0.086341425484302,,,0.05607756743064293,0.9392851361861596,0.9582563363588773,CustomUNet
1,0.0005,0.10286282561719418,,,0.033108390867710114,0.9587618485093117,0.9789389297366142,CustomUNet_highres
2,0.0005,0.07168151624500751,,,0.01946912705898285,0.9826536774635315,0.991249106824398,CustomUNet_highres
