epoch,lr,train_loss,train_iou,train_dice,val_loss,val_iou,val_dice
1,0.001,0.33196300443480997,,,0.261700553389696,0.9142863062711862,0.9440866296107953
2,0.001,0.22974300968880748,,,0.21933642373635218,0.9341940008676969,0.955635483448322
3,0.001,0.18934756385929444,,,0.27942315546365887,0.8789449976040766,0.9183241037222055
4,0.001,0.16178051426130183,,,0.3116614423119105,0.880462224666889,0.9192596673965454
5,0.0005,0.15004056721341377,,,0.3737729713320732,0.818420932843135,0.8640165191430312
6,0.0005,0.12225327655380848,,,0.30536985941804373,0.890828916659722,0.9245169804646418
7,0.0005,0.11214241925992217,,,0.231485948826258,0.9259755336321317,0.9497166459376996
8,0.00025,0.09556987677134719,,,0.35573507845401764,0.8685503005981445,0.9116371824191167
9,0.00025,0.10025211788860022,,,0.2574796089186118,0.924239809696491,0.9482533152286823
10,0.00025,0.08104445639194227,,,0.3547229084831018,0.8806491631727952,0.9177221793394822
