epoch,lr,train_loss,train_iou,train_dice,val_loss,val_iou,val_dice
1,0.001,0.18151935175353406,,,0.07856904084865864,0.917555034160614,0.9470573663711548
2,0.001,0.08981995138467527,,,0.06403832710706271,0.9194439282784095,0.947823377755972
3,0.001,0.07524518171946208,,,0.057147553333869346,0.920625218978295,0.9482868818136362
4,0.001,0.06661820996041391,,,0.05002893851353572,0.9321899643311133,0.9543468952178955
5,0.001,0.06336588836183735,,,0.05324384799370399,0.9227244395476121,0.949564475279588
6,0.001,0.061523106752657424,,,0.05163888289378239,0.924189819739415,0.9503943690886865
7,0.001,0.060916440159666775,,,0.04477706322303185,0.9372406235108008,0.9570651146081778
8,0.001,0.06170044108933093,,,0.08018580308327308,0.8746097638056829,0.9210640879777762
9,0.001,0.0614429092874714,,,0.04450512849367582,0.9368963608374963,0.9571491663272564
10,0.0005,0.06552048524220784,,,0.04859053630095262,0.9286209711661706,0.9524914438907917
