cluster_pca,ege_avg_budget_full_time,ege_avg_budget_full_time_no_special_rights_no_target_quota,ege_avg_paid_full_time,ege_min_avg_full_time,olympiad_final_winners_admitted_no_exams,school_olympiad_winners_admitted_no_exams,target_admission_count_full_time,target_admission_share_full_time,masters_share_in_total_contingent,masters_admitted_from_other_orgs_share_full_time,dpo_external_listeners_share,target_contract_share_priority_fields,rnd_total_volume,rnd_income_share_total,rnd_own_work_share_in_rnd_income,license_agreements_count,rid_income_share_total,defended_theses_share,journals_count,foreign_students_non_cis_share,foreign_students_cis_share,foreign_graduates_share,foreign_graduates_non_cis_share,foreign_graduates_cis_share,outbound_mobility_semester_share,inbound_mobility_per_100_students,foreign_faculty_share,edu_funds_from_foreign_entities,income_nonbudget_per_faculty,income_nonbudget_share_total,faculty_salary_to_region_avg_ratio,income_per_student,teaching_lab_area_per_student_total,teaching_lab_area_owned,teaching_lab_area_operational,teaching_lab_area_free_use,teaching_lab_area_rented,pcs_per_student,equipment_under_5y_value_share,printed_textbooks_per_student,faculty_phd_share,faculty_dsc_share,faculty_phd_dsc_share,faculty_phd_dsc_per_100_students,faculty_staff_share,students_total,students_full_time,students_part_time_evening,students_correspondence,ege_avg_all_forms,share_full_time,share_bachelor_in_total,share_master_in_total,dpo_listeners_total,spo_students_total,partner_enterprises_count,practice_bases_count,publications_total_per_100_faculty,incubators_count,technoparks_count,shared_equipment_centers_count,small_enterprises_count,doctoral_students_total,dissertation_councils_count,employees_total,faculty_total,researchers_total,faculty_degree_share,researchers_degree_share,faculty_under_65_share,faculty_under_40_share,faculty_avg_salary,researchers_avg_salary,foreign_students_total,foreign_students_share_total,double_degree_programs_count,double_degree_students_full_time_total,intl_coauthored_articles_count,rnd_income_foreign_sources,edu_income_foreign_sources,rid_protected_abroad_count,buildings_area_total,teaching_lab_buildings_area,research_units_area,dorms_area,indoor_sports_area,dorm_shortage_share,pcs_total,pcs_internet_share,income_total,income_nonbudget,income_nonbudget_share,income_federal_budget_share,income_regional_local_budget_share,income_edu_share_total,income_research_share_total,nonbudget_share_in_edu_income,nonbudget_share_in_research_income
0,10.395605670103093,8.591481958762886,44.22346649484537,36.25110824742268,0.17268041237113402,0.027061855670103094,0.07860824742268041,0.09422680412371134,5.240579896907216,21.417693298969073,59.22478092783505,0.02323453608247423,12327.903865979382,8.600257731958763,78.1453737113402,0.2925257731958763,0.019497422680412373,0.835360824742268,0.9639175257731959,0.7444716494845361,6.7687113402061865,4.319935567010309,0.3746262886597938,3.94534793814433,0.13850515463917526,0.0675,0.5383247422680413,1600.2851804123711,4061.351701030928,92.85086340206186,151.25887886597937,1303.8989819587628,99.31497422680413,25.37475515463918,2.74715206185567,7.910244845360825,30.71923969072165,2.4056443298969072,45.5630412371134,534.5132474226804,62.89398195876289,15.735025773195876,77.12106958762887,7.797822164948453,65.40532216494846,1200.8775773195875,254.41752577319588,186.8840206185567,759.5760309278351,48.731945876288655,30.112538659793817,82.12967783505154,5.884175257731958,434.6546391752577,154.58762886597938,12.359536082474227,65.70876288659794,411.9632989690722,0.13530927835051546,0.03221649484536082,0.08247422680412371,0.09149484536082474,0.08118556701030928,0.024484536082474227,83.89690721649484,37.91237113402062,1.5360824742268042,75.22975515463918,42.40208762886598,85.81106958762886,24.408904639175258,73.86283505154638,33.85345360824742,98.65463917525773,7.139677835051547,0.08634020618556701,2.0579896907216493,1.8608247422680413,84.90940721649484,1600.2851804123711,0.15721649484536082,7570.186855670103,6599.978092783505,150.33118556701032,449.69072164948454,463.58247422680415,13.017074742268042,191.56056701030928,96.58219072164948,148211.4780927835,134902.06739690722,93.79163659793814,3.6860824742268044,2.522306701030928,81.2959793814433,8.555914948453609,94.98978092783506,80.84259020618556
1,70.52052475247524,70.08253465346534,61.209712871287124,48.62472277227723,4.53960396039604,18.44950495049505,106.23663366336633,7.438188118811881,11.040861386138614,36.111148514851486,80.73427722772277,6.948118811881188,380157.349009901,10.67438613861386,94.71308910891089,10.511881188118812,0.05498019801980198,1.425881188118812,6.616831683168317,3.7149702970297027,5.525039603960396,7.07660396039604,2.9687425742574254,4.107821782178218,0.37604950495049505,0.4027623762376238,0.9366138613861387,55454.96900990099,1509.3129405940595,39.03007920792079,205.894,393.9263762376238,15.856970297029704,0.08152475247524753,13.96689108910891,0.5041089108910891,0.7998712871287129,0.3954356435643564,37.46840594059405,159.940900990099,59.00907920792079,16.808039603960395,76.07770297029703,5.1595445544554455,82.98015841584159,10558.840594059406,7034.3782178217825,417.63168316831684,3106.830693069307,65.6809801980198,66.71112871287129,63.855653465346535,12.020623762376237,4959.153465346535,871.7386138613862,175.31683168316832,676.4792079207921,476.651702970297,0.6089108910891089,0.43366336633663366,1.5653465346534654,8.091089108910891,4.896039603960396,6.589108910891089,1704.7841584158416,642.4782178217822,58.75940594059406,75.10422772277228,55.840792079207915,81.07231683168317,27.589148514851487,86.96158415841583,108.71664356435643,826.1960396039603,7.95839603960396,4.3782178217821786,76.42376237623762,106.9970297029703,5461.944356435643,55454.96900990099,0.6742574257425743,167624.63168316832,108024.09306930692,4912.689108910891,42537.20099009901,5328.686138613862,15.608940594059407,2902.5257425742575,88.28756435643565,2873935.4000990097,1160175.6210891088,39.41777227722772,58.98918811881188,1.5932475247524753,72.52648514851485,10.744237623762377,34.60890099009901,64.21527722772277
2,66.11644763860369,65.5947022587269,53.9112114989733,49.44201232032854,0.25770020533880905,0.2433264887063655,35.507186858316224,6.557782340862423,6.948562628336755,36.15217659137577,79.47535934291581,4.1049281314168375,26581.110472279262,5.054219712525668,84.80588295687885,3.602669404517454,0.04589322381930185,1.0421971252566735,1.837782340862423,2.165903490759754,4.197381930184805,5.2320636550308,1.9442505133470227,3.28782340862423,0.2180082135523614,0.13698151950718684,0.3305030800821355,6368.746201232033,914.4520020533881,26.69487679671458,180.6423613963039,441.22101642710476,22.727566735112937,0.07414784394250513,20.399260780287474,0.9520636550308008,0.4125359342915811,0.4286036960985626,34.480626283367556,203.8421457905544,52.22231006160164,12.112926078028748,64.34775154004107,5.204948665297741,79.94092402464067,3050.545174537988,1759.881930184805,64.90657084188912,1225.7566735112937,63.627053388090346,63.375913757700204,60.90406570841889,7.598193018480493,1756.7977412731007,384.67556468172484,52.90554414784394,158.70739219712524,343.59985626283367,0.10574948665297741,0.09650924024640657,0.406570841889117,1.0205338809034907,0.5934291581108829,0.7371663244353183,468.55852156057495,186.09856262833677,4.705338809034908,63.52604722792608,42.826160164271045,80.59686858316222,24.196386036960984,72.98781314168379,53.505297741273104,145.00616016427105,5.546519507186859,0.14887063655030802,2.9281314168377826,6.798767967145791,335.3989733059548,6368.746201232033,0.04722792607802875,51661.57905544148,35197.81930184805,642.4004106776181,13460.020533880903,2229.099589322382,12.737905544147843,692.1262833675564,86.512340862423,592971.5790554414,180673.07885010267,27.390841889117045,60.93790554414784,11.671303901437373,78.75593429158111,5.091221765913758,24.733459958932237,49.19458932238193
